Creature name,Blurb,Task Specific 1,Task Specific 2,Revised Task,Loot,Tempo Preference,Loudness Preference,Task Category,Creature Image,Task 1 Image,Task 2 Image,Revised Task Image,Region
Blazebark,"A fiery, tree-like creature with a warm heart.",Make Firefly lights,Build bonfire pit,Make Firefly lights,3,84 - 134,-18 - -3,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/blazebark.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/firefly.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bonfire.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/firefly.png,Forge of Form
Cloudjumper,A nimble creature that leaps between treetops.,Plant microphone flowers,Throw out litter,Plant microphone flowers,3,88 - 138,-30 - -15,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/cloudjumper.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/microphone.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/recycle.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/microphone.png,Backbeat
Driftwing,A calm creature with a soothing aura.,Curate art displays,Assemble Lullaby tents,Assemble lullaby tents,1,12 - 62,-39 - -24,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/driftwing.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/art.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/lullaby.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/lullaby.png,Chorus of Commons
Dusktail,A nocturnal creature that loves the moonlight.,Install pathway lights,Install power cables,Install pathway lights,2,145 - 195,-30 - -15,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/dusktail.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/pathway.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/power.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/pathway.png,Forge of Form
Emberfang,A fun creature with a warm personality.,Make dancing signs,Light pathways,Make dancing signs,1,135 - 185,-30 - -15,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/emberfang.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/signs.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/light.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/signs.png,Forge of Form
Flickdash,"Quick and spirited, always on the move.",Build stage,Build hedgehog barriers,Build stage,1,120 - 170,-16 - -1,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/flickdash.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/stage.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/hedgehog.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/stage.png,Forge of Form
Frostridge,"Huge, slow, and moves with purpose.",Create ice sculptures,Run cooling tents,Make ice sculptures,2,60 - 110,-17 - -2,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/frostridge.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/ice_sculptures.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/cooling_tent.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/ice_sculptures.png,Forge of Form
Glowtail,A luminous creature that loves the night.,Run information tent,Teach dance tutorials,Teach dance tutorials,1,143 - 193,-16 - -1,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/glowtail.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/info_tent.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/dance_tutorial.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/dance_tutorial.png,Chorus of Commons
Grainhoof,A hardworking creature with lots of energy.,Harvest crops for snacks,Plant message trees,Plant message trees,2,30 - 80,-20 - -5,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/grainhoof.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/harvest_snacks.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/message_tree.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/message_tree.png,Backbeat
Hopsnap,,,,Take festival photos,3,145 - 195,-33 - -18,,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/hopsnap.png,,,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/photos.png,Chorus of Commons
Leafwhisk,A quick creature that loves plants.,Gather fresh flowers,Run snack stand,Gather fresh flowers,1,140 - 190,-35 - -20,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/leafwhisk.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/gather_flowers.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/snack_stand.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/gather_flowers.png,Backbeat
Lyribel,,,,Lead sing-alongs,3,100 - 150,-20 - -5,,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/lyribel.png,,,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/sing.png,Chorus of Commons
Mistpuff,Cloud-like and dreamy with a calm demeanor.,Comfort overstimulated guests,Sell bard merch,Sell bard merch,2,62 - 112,-35 - -20,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/mistpuff.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/comfort_guest.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bard_merch.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bard_merch.png,Backbeat
Muckmender,A happy who creature who loves mess.,Drive caterpillar bus,Fill in mud puddles,Drive caterpillar bus,2,39 - 89,-20 - -5,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/muckmender.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bus.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/mud_puddle.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bus.png,Backbeat
Mudscale,"Serious, loves much, found in swamps.",Build singing parking lot,Mosh pit safety patrol,Mosh pit safety patrol,3,81 - 131,-17 - -2,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/mudscale.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/parking.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/safety_patrol.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/safety_patrol.png,Backbeat
Patchsnap,Energetic and always ready to lend a hand.,Do comedy,Make rhythm cookies,Make rhythm cookies,2,60 - 110,-16 - -1,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/patchsnap.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/comedy.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/cookies.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/cookies.png,Chorus of Commons
Pebblepuff,"Tiny, determined, and thrives under pressure.",Build stone pathways,Dig Karaoke Caves,Dig Karaoke Caves,1,143 - 193,-16 - -1,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/pebblepuff.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/stone_path.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/karaoke.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/karaoke.png,Forge of Form
Rivergleam,"Shiny, fast, and loves water.",Run handwashing stations,Lifeguard at wish fountain,Lifeguard at wish fountain,2,86 - 136,-37 - -22,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/rivergleam.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/wash_station.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/lifeguard.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/lifeguard.png,Chorus of Commons
Rockroller,"Strong, steady, and loves rolling heavy objects.",Design dance platforms,Build seats,Build dance platforms,2,42 - 92,-31 - -16,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/rockroller.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/dance_platform.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/seats.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/dance_platform.png,Forge of Form
Snugglehorn,A gentle giant who loves to lend a helping hand.,Run petting zoo,Babysit children,Run petting zoo,2,40 - 90,-49 - -34,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/snugglehorn.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/petting.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/babysit.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/petting.png,Chorus of Commons
Sparkclaw,An electric creature that buzzes with excitement.,Build show lighting,Make sparkle dispensers,Make sparkle dispensers,2,150 - 200,-33 - -18,Construction,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/sparkclaw.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/show_lighting.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/sparkle_dispenser.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/sparkle_dispenser.png,Backbeat
Sunseeker,Vibrant creature that thrives in sunlight.,Bonfire safety patrol,Run solar chargers,Run solar chargers,1,146 - 196,-20 - -5,Facilities,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/sunseeker.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/bonfire_safety.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/solar.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/solar.png,Backbeat
Swaybranch,A tree-like creature that moves with the wind.,Greet guests,Check tickets,Greet guests,2,85 - 135,-32 - -17,Culture,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Creature%20Images/swaybranch.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/greet_guests.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/check_tickets.png,https://raw.githubusercontent.com/sparksccoe/blank-app/main/Task%20Images/greet_guests.png,Chorus of Commons
